Fixtures count: 6557
Invalid fixtures count: 779
Players count: 9517

  place  full name                            team               nationality             position      occurrences    skill
-------  -----------------------------------  -----------------  ----------------------  ----------  -------------  -------
      1  Robert Lewandowski                   Bayern München     Poland                  Attacker              105  5.44421
      2  Douglas  Costa de Souza              Juventus           Brazil                  Midfielder             89  4.97542
      3  Paul Pogba                           Manchester United  France                  Midfielder            103  4.92784
      4  Mohamed  Salah Ghaly                 Liverpool          Egypt                   Attacker              106  4.86341
      5  David Olatukunbo Alaba               Bayern München     Austria                 Defender               93  4.69036
      6  Nicolás Hernán Otamendi              Manchester City    Argentina               Defender              102  4.55556
      7  David Josué Jiménez Silva            Manchester City    Spain                   Midfielder             93  4.48499
      8  Sergio Busquets i Burgos             Barcelona          Spain                   Midfielder            105  4.1915
      9  Cristiano Ronaldo dos Santos Aveiro  Real Madrid        Portugal                Attacker              105  4.13113
     10  Miralem Pjanić                       Juventus           Bosnia and Herzegovina  Midfielder             99  4.06832
     11  Gerard Piqué Bernabéu                Barcelona          Spain                   Defender               87  4.03006
     12  Łukasz Piszczek                      Borussia Dortmund  Poland                  Defender               69  4.00519
     13  Edinson Roberto Cavani Gómez         PSG                Uruguay                 Attacker              101  3.96132
     14  Neymar da Silva Santos Junior        PSG                Brazil                  Attacker              101  3.83277
     15  Jordi Alba Ramos                     Barcelona          Spain                   Defender               90  3.70351
     16  Lucas Vázquez Iglesias               Real Madrid        Spain                   Midfielder             91  3.69834
     17  Benjamin Mendy                       Manchester City    France                  Defender               63  3.64404
     18  Ricardo Domingos Barbosa Pereira     Porto              Portugal                Defender               57  3.63806
     19  Georginio Wijnaldum                  Liverpool          Netherlands             Midfielder             98  3.62817
     20  Kléper Laveran Lima Ferreira         Beşiktaş           Portugal                Defender               49  3.59002
     21  Adrien Rabiot                        PSG                France                  Midfielder             78  3.49759
     22  Steven Defour                        Burnley            Belgium                 Midfielder             52  3.48068
     23  Kevin De Bruyne                      Manchester City    Belgium                 Midfielder            104  3.47929
     24  Luis Alberto Suárez Díaz             Barcelona          Uruguay                 Attacker              106  3.45718
     25  Mark Uth                             Hoffenheim         Germany                 Attacker               67  3.44746
     26  Aleix Vidal Parreu                   Barcelona          Spain                   Defender               28  3.41492
     27  Gnégnéri Yaya Touré                  Manchester City    Côte d'Ivoire           Midfielder             74  3.40592
     28  Iago Aspas Juncal                    Celta de Vigo      Spain                   Attacker               90  3.39674
     29  Eric Bertrand  Bailly                Manchester United  Côte d'Ivoire           Defender               77  3.37983
     30  Wendell Nascimento Borges            Bayer Leverkusen   Brazil                  Defender               85  3.3385
     31  Marco Verratti                       PSG                Italy                   Midfielder             71  3.33812
     32  Ivan Rakitić                         Barcelona          Croatia                 Midfielder            108  3.22073
     33  Mariano Ferreira Filho               Galatasaray        Brazil                  Defender               70  3.20313
     34  Bruno González Cabrera               Getafe             Spain                   Defender               50  3.20232
     35  Kingsley Coman                       Bayern München     France                  Midfielder             71  3.18678
     36  Claudio Marchisio                    Juventus           Italy                   Midfielder             64  3.1813
     37  Djibril Sidibé                       Monaco             France                  Defender               90  3.1614
     38  Paulo Bruno Exequiel Dybala          Juventus           Argentina               Attacker              106  3.14003
     39  Simon Mignolet                       Liverpool          Belgium                 Goalkeeper             96  3.13655
     40  Henrikh Mkhitaryan                   Arsenal            Armenia                 Midfielder             95  3.13125
     41  Markel Susaeta Laskurain             Athletic Club      Spain                   Midfielder             90  3.12464
     42  Senad Lulić                          Lazio              Bosnia and Herzegovina  Midfielder             88  3.11745
     43  Iñaki Williams Arthuer               Athletic Club      Spain                   Attacker               95  3.11461
     44  N'Golo Kanté                         Chelsea            France                  Midfielder             85  3.11003
     45  Jesse Lingard                        Manchester United  England                 Midfielder             87  3.09705
     46  Jorge Luiz Frello Filho              Napoli             Italy                   Midfielder             84  3.07159
     47  James Tomkins                        Crystal Palace     England                 Defender               65  3.06166
     48  Samuel Yves Umtiti                   Barcelona          France                  Defender               76  3.0468
     49  Leandro Daniel Paredes               Zenit              Argentina               Midfielder             72  3.03775
     50  Gonzalo Gerardo Higuaín              Juventus           Argentina               Attacker              109  3.03421
